,Unnamed0,SV,GS,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,WARx,Zone,tERA,Kx,BBx,ER,KBB,KBB,AB,PA,H,X1B,X2B,X3B,HR,R,RBI,BB,SO,Pitches,Balls,Strikes,BBy,Ky,OBP,SLG,OPS,WARy,ZSwing,ZContact,Win_Percent
24,25.0,41.0,162.0,7.26,2.69,0.97,0.283,74.5,46.0,10.8,3.73,3.91,8.8,44.2,4.1,19.4,7.2,599.0,2.7,12.2,5565.0,6153.0,1486.0,1023.0,288.0,39.0,136.0,696.0,663.0,457.0,1159.0,23191.0,8466.0,14725.0,7.4,18.8,0.326,0.406,0.732,29.5,69.8,87.3,0.5185185185185185
25,26.0,62.0,162.0,8.17,2.93,0.76,0.297,79.4,48.0,9.4,2.94,3.48,20.6,45.2,3.73,21.7,7.8,478.0,2.79,13.9,5484.0,6139.0,1386.0,922.0,288.0,39.0,137.0,647.0,619.0,506.0,1267.0,23494.0,8621.0,14873.0,8.2,20.6,0.321,0.394,0.716,23.6,69.3,86.8,0.6172839506172839
26,27.0,60.0,162.0,8.39,2.95,1.08,0.284,75.1,41.8,11.2,3.74,3.91,14.7,45.8,4.04,22.3,7.9,604.0,2.84,14.5,5485.0,6071.0,1383.0,906.0,278.0,32.0,167.0,644.0,612.0,436.0,1310.0,23210.0,8294.0,14916.0,7.2,21.6,0.314,0.406,0.72,19.6,68.8,84.4,0.49382716049382713
27,28.0,45.0,162.0,6.83,3.17,1.07,0.294,72.4,44.2,11.2,4.25,4.34,11.0,44.2,5.06,17.6,8.2,682.0,2.16,9.4,5511.0,6187.0,1419.0,936.0,279.0,32.0,172.0,751.0,707.0,503.0,1233.0,23739.0,8730.0,15009.0,8.1,19.9,0.325,0.413,0.739,21.6,64.4,86.6,0.5432098765432098
28,29.0,34.0,162.0,6.98,2.48,1.08,0.278,72.7,43.7,11.0,3.81,4.09,13.7,46.1,4.45,18.7,6.6,610.0,2.81,12.0,5509.0,6231.0,1480.0,923.0,308.0,17.0,232.0,891.0,852.0,570.0,1151.0,24051.0,8993.0,15058.0,9.1,18.5,0.34,0.457,0.797,36.7,64.3,86.4,0.5740740740740741
29,30.0,41.0,162.0,8.42,2.28,0.91,0.3,72.7,44.7,10.3,3.62,3.45,22.2,46.3,3.87,22.5,6.1,577.0,3.69,16.4,5428.0,6117.0,1363.0,908.0,265.0,13.0,177.0,703.0,665.0,539.0,1344.0,23247.0,8545.0,14702.0,8.8,22.0,0.321,0.403,0.724,17.9,67.8,85.7,0.5123456790123457
30,31.0,31.0,162.0,8.17,3.74,1.25,0.32,68.7,46.0,14.1,5.09,4.5,10.1,43.2,5.15,20.5,9.4,821.0,2.19,11.1,5665.0,6260.0,1479.0,948.0,285.0,56.0,190.0,752.0,709.0,463.0,1427.0,24094.0,8606.0,15488.0,7.4,22.8,0.32,0.432,0.752,16.7,65.1,86.2,0.42592592592592593
31,32.0,39.0,161.0,7.63,3.4,1.1,0.293,70.2,44.7,11.7,4.51,4.32,9.0,44.2,4.57,19.6,8.8,725.0,2.24,10.9,5514.0,6192.0,1404.0,960.0,295.0,27.0,122.0,649.0,615.0,502.0,1240.0,23246.0,8269.0,14977.0,8.1,20.0,0.321,0.384,0.705,12.2,66.9,86.6,0.422360248447205
32,33.0,54.0,162.0,7.84,3.43,1.15,0.299,73.7,44.8,12.6,4.22,4.31,15.7,44.0,4.67,20.4,8.9,671.0,2.29,11.5,5524.0,6089.0,1413.0,889.0,265.0,6.0,253.0,744.0,710.0,468.0,1324.0,23525.0,8503.0,15022.0,7.7,21.7,0.317,0.443,0.76,21.4,67.9,84.7,0.5493827160493827
33,34.0,43.0,162.0,8.51,3.06,1.1,0.293,72.9,41.5,11.4,4.0,4.0,18.8,45.1,4.45,22.4,8.1,640.0,2.78,14.4,5670.0,6320.0,1598.0,1022.0,343.0,25.0,208.0,878.0,836.0,558.0,1160.0,24947.0,9221.0,15726.0,8.8,18.4,0.348,0.461,0.81,32.3,62.8,89.2,0.5740740740740741
34,35.0,38.0,162.0,8.88,3.05,1.01,0.255,77.5,46.9,13.1,3.15,3.77,18.8,43.2,4.11,24.3,8.3,511.0,2.91,15.9,5503.0,6335.0,1409.0,887.0,293.0,30.0,199.0,808.0,767.0,656.0,1339.0,25160.0,9576.0,15584.0,10.4,21.1,0.343,0.429,0.772,35.9,66.7,84.7,0.639751552795031
35,36.0,43.0,162.0,7.9,3.24,1.15,0.298,74.0,43.1,12.0,4.12,4.27,17.1,44.2,4.55,20.5,8.4,662.0,2.44,12.1,5550.0,6131.0,1428.0,950.0,277.0,33.0,168.0,686.0,656.0,455.0,1285.0,23739.0,8367.0,15372.0,7.4,21.0,0.317,0.41,0.727,16.5,67.5,86.1,0.48148148148148145
36,37.0,28.0,162.0,7.75,3.97,1.61,0.29,72.8,41.6,15.9,4.91,5.24,1.0,45.7,5.67,19.5,10.0,787.0,1.95,9.5,5487.0,6094.0,1403.0,929.0,277.0,33.0,164.0,716.0,678.0,452.0,1284.0,23319.0,8331.0,14988.0,7.4,21.1,0.316,0.408,0.724,10.8,68.2,86.6,0.41975308641975306
37,38.0,37.0,161.0,8.71,2.87,1.16,0.289,73.4,46.7,13.7,3.86,3.91,18.2,44.6,4.37,23.2,7.6,619.0,3.03,15.5,5484.0,6155.0,1435.0,913.0,308.0,29.0,185.0,777.0,733.0,531.0,1246.0,24186.0,8826.0,15360.0,8.6,20.2,0.329,0.43,0.759,24.0,68.3,86.8,0.5838509316770186
38,39.0,37.0,162.0,7.7,3.44,1.14,0.317,68.0,49.1,14.1,4.92,4.38,13.1,45.0,5.62,19.4,8.7,781.0,2.24,10.7,5614.0,6236.0,1544.0,975.0,318.0,47.0,204.0,845.0,805.0,494.0,1330.0,24413.0,8796.0,15617.0,7.9,21.3,0.336,0.457,0.794,20.9,67.9,86.3,0.46296296296296297
39,40.0,47.0,161.0,7.76,2.91,1.15,0.3,72.2,44.5,11.7,4.24,4.16,18.5,44.7,4.24,20.4,7.6,673.0,2.67,12.7,5526.0,6127.0,1476.0,983.0,252.0,30.0,211.0,750.0,719.0,493.0,1303.0,23720.0,8595.0,15125.0,8.0,21.3,0.331,0.438,0.769,19.9,66.9,86.4,0.5341614906832298
40,41.0,44.0,162.0,8.56,2.78,1.11,0.306,73.4,45.2,12.6,4.06,3.85,17.6,43.7,4.03,22.6,7.3,663.0,3.08,15.3,5545.0,6204.0,1367.0,849.0,291.0,29.0,198.0,724.0,689.0,554.0,1452.0,23971.0,8941.0,15030.0,8.9,23.4,0.319,0.417,0.735,24.6,68.8,83.2,0.5185185185185185
41,42.0,41.0,162.0,8.04,3.23,1.29,0.298,75.4,44.3,13.4,4.21,4.42,12.1,45.5,4.67,20.8,8.4,674.0,2.49,12.5,5552.0,6052.0,1450.0,1006.0,264.0,33.0,147.0,675.0,640.0,382.0,1224.0,22931.0,7992.0,14939.0,6.3,20.2,0.312,0.4,0.712,11.8,68.9,87.6,0.5
42,43.0,29.0,162.0,7.19,3.15,1.32,0.301,75.0,40.8,12.5,4.28,4.62,8.0,45.5,4.8,18.6,8.1,676.0,2.28,10.4,5431.0,6041.0,1410.0,955.0,279.0,20.0,156.0,717.0,686.0,471.0,991.0,22543.0,8135.0,14408.0,7.8,16.4,0.322,0.405,0.726,16.6,67.5,89.2,0.4567901234567901
43,44.0,47.0,162.0,9.35,2.87,1.02,0.288,73.8,42.8,11.7,3.7,3.61,20.0,45.1,3.75,25.1,7.7,598.0,3.25,17.4,5518.0,6164.0,1375.0,893.0,272.0,21.0,189.0,725.0,680.0,525.0,1321.0,23749.0,8839.0,14910.0,8.5,21.4,0.319,0.409,0.728,21.5,67.5,86.5,0.5617283950617284
44,45.0,55.0,161.0,8.65,3.73,0.95,0.303,74.0,43.0,10.9,4.05,3.97,15.5,44.0,4.27,22.4,9.7,646.0,2.32,12.7,5547.0,6133.0,1460.0,1031.0,259.0,42.0,128.0,655.0,626.0,447.0,1213.0,23662.0,8437.0,15225.0,7.3,19.8,0.322,0.394,0.716,19.8,63.8,88.1,0.4906832298136646
45,46.0,46.0,162.0,7.37,3.34,1.12,0.3,73.1,46.0,12.4,4.1,4.37,11.1,44.4,4.81,19.0,8.6,653.0,2.21,10.4,5330.0,6061.0,1299.0,837.0,249.0,19.0,194.0,671.0,641.0,599.0,1543.0,24181.0,9028.0,15153.0,9.9,25.5,0.322,0.407,0.729,15.4,65.7,83.5,0.4506172839506173
46,47.0,26.0,162.0,7.43,2.99,1.38,0.319,68.3,43.0,13.9,5.09,4.57,10.7,43.1,5.13,18.9,7.6,816.0,2.49,11.3,5618.0,6245.0,1409.0,886.0,288.0,35.0,200.0,722.0,690.0,513.0,1426.0,24633.0,8991.0,15642.0,8.2,22.8,0.316,0.421,0.738,15.8,63.4,85.5,0.36419753086419754
47,48.0,55.0,162.0,8.68,2.73,0.95,0.308,75.6,44.2,11.1,3.58,3.57,21.5,46.7,3.81,23.0,7.2,576.0,3.18,15.8,5459.0,6115.0,1342.0,865.0,240.0,19.0,218.0,671.0,649.0,517.0,1302.0,23980.0,8890.0,15090.0,8.5,21.3,0.316,0.417,0.733,21.6,66.6,87.4,0.5370370370370371
48,49.0,48.0,162.0,8.78,2.8,1.35,0.292,74.2,46.9,15.5,4.16,4.2,18.7,43.8,4.39,23.1,7.4,661.0,3.14,15.8,5458.0,6058.0,1377.0,929.0,245.0,20.0,183.0,680.0,647.0,475.0,1188.0,23232.0,8475.0,14757.0,7.8,19.6,0.314,0.405,0.72,14.9,65.8,88.6,0.5185185185185185
49,50.0,42.0,162.0,7.46,2.91,1.16,0.299,70.7,46.2,12.5,4.51,4.24,13.7,45.6,4.39,19.3,7.6,719.0,2.56,11.8,5500.0,6022.0,1352.0,892.0,270.0,21.0,169.0,653.0,634.0,442.0,1145.0,23061.0,8364.0,14697.0,7.3,19.0,0.304,0.395,0.699,4.3,66.3,87.0,0.42592592592592593
50,51.0,43.0,162.0,8.14,2.92,1.33,0.304,70.5,41.0,13.8,4.64,4.34,13.9,45.7,4.82,21.1,7.6,741.0,2.79,13.5,5434.0,5992.0,1306.0,879.0,231.0,35.0,161.0,610.0,575.0,424.0,1376.0,22887.0,8089.0,14798.0,7.1,23.0,0.301,0.385,0.685,7.2,68.9,85.4,0.4382716049382716
51,52.0,51.0,162.0,7.64,3.31,1.12,0.306,72.5,46.9,13.0,4.22,4.3,9.0,43.4,4.65,19.6,8.5,681.0,2.31,11.1,5542.0,6261.0,1426.0,964.0,277.0,32.0,153.0,729.0,696.0,561.0,1334.0,24900.0,9296.0,15604.0,9.0,21.3,0.332,0.402,0.734,22.4,66.3,86.1,0.484472049689441
52,53.0,35.0,162.0,7.64,3.56,1.14,0.296,71.3,46.4,12.6,4.44,4.4,8.6,43.4,4.51,19.6,9.1,711.0,2.15,10.5,5419.0,6000.0,1275.0,815.0,257.0,26.0,177.0,686.0,654.0,449.0,1500.0,23518.0,8465.0,15053.0,7.5,25.0,0.299,0.39,0.689,9.7,66.6,84.3,0.41975308641975306
53,54.0,49.0,162.0,8.14,2.84,1.32,0.292,74.9,43.4,13.8,4.0,4.3,14.5,45.5,4.31,21.4,7.5,647.0,2.87,14.0,5583.0,6227.0,1446.0,955.0,251.0,17.0,223.0,768.0,735.0,506.0,1288.0,24307.0,8922.0,15385.0,8.1,20.7,0.326,0.43,0.756,23.6,66.5,86.8,0.5308641975308642
54,55.0,43.0,162.0,8.07,2.71,0.97,0.287,74.3,45.3,10.8,3.69,3.76,14.2,44.5,3.85,21.6,7.3,599.0,2.98,14.4,5565.0,6271.0,1437.0,973.0,280.0,54.0,130.0,715.0,675.0,572.0,1107.0,24003.0,8885.0,15118.0,9.1,17.7,0.329,0.398,0.728,24.1,68.7,88.5,0.5370370370370371
55,56.0,38.0,162.0,8.02,2.95,0.99,0.304,71.8,49.5,12.8,4.08,3.88,16.6,45.5,4.26,20.9,7.7,656.0,2.72,13.2,5548.0,6223.0,1416.0,859.0,300.0,32.0,225.0,779.0,745.0,526.0,1318.0,23915.0,8692.0,15223.0,8.5,21.2,0.325,0.443,0.768,24.5,69.7,86.6,0.5308641975308642
56,57.0,42.0,162.0,8.56,3.1,1.33,0.297,74.2,41.0,13.1,4.2,4.26,10.6,43.7,4.33,22.3,8.1,665.0,2.76,14.3,5481.0,6046.0,1333.0,797.0,288.0,32.0,216.0,672.0,647.0,449.0,1482.0,23480.0,8467.0,15013.0,7.4,24.5,0.307,0.426,0.733,17.0,68.2,81.7,0.41975308641975306
57,58.0,56.0,162.0,7.2,3.33,1.25,0.292,72.8,45.5,13.5,4.38,4.58,12.6,43.5,5.29,18.7,8.6,703.0,2.16,10.0,5525.0,6089.0,1446.0,951.0,257.0,23.0,215.0,765.0,746.0,436.0,1220.0,23305.0,8317.0,14988.0,7.2,20.0,0.322,0.433,0.755,17.5,64.8,86.7,0.5864197530864198
58,59.0,43.0,162.0,8.1,2.84,1.13,0.282,74.4,46.6,13.0,3.79,4.04,16.8,44.7,4.28,21.5,7.5,615.0,2.85,14.0,5479.0,6233.0,1358.0,843.0,276.0,18.0,221.0,759.0,728.0,632.0,1362.0,25139.0,9649.0,15490.0,10.1,21.9,0.33,0.426,0.755,23.8,64.3,85.2,0.5493827160493827
59,60.0,46.0,162.0,9.1,2.89,0.96,0.288,75.0,43.3,10.9,3.52,3.58,23.5,45.5,3.95,24.5,7.8,571.0,3.15,16.7,5490.0,6201.0,1403.0,903.0,268.0,29.0,203.0,763.0,735.0,536.0,1252.0,24077.0,8945.0,15132.0,8.6,20.2,0.326,0.426,0.751,22.7,64.2,87.0,0.5864197530864198
60,61.0,43.0,162.0,9.26,3.22,1.07,0.294,74.2,48.1,13.1,3.67,3.8,22.9,43.3,4.15,24.4,8.5,588.0,2.87,15.9,5525.0,6224.0,1405.0,832.0,314.0,39.0,220.0,812.0,776.0,578.0,1456.0,24412.0,8955.0,15457.0,9.3,23.4,0.329,0.445,0.774,21.5,65.5,85.1,0.5740740740740741
61,62.0,36.0,162.0,7.86,3.65,1.2,0.302,70.1,44.5,12.5,4.72,4.51,9.0,43.9,4.82,19.9,9.3,756.0,2.15,10.7,5584.0,6216.0,1467.0,987.0,289.0,26.0,165.0,732.0,706.0,474.0,1184.0,23315.0,8097.0,15218.0,7.6,19.0,0.326,0.412,0.738,14.7,70.9,86.5,0.4444444444444444
62,63.0,35.0,162.0,7.7,3.62,1.51,0.302,72.2,44.6,15.4,4.97,4.96,8.6,43.1,5.19,19.6,9.2,796.0,2.13,10.4,5650.0,6140.0,1469.0,956.0,269.0,12.0,232.0,743.0,713.0,392.0,1412.0,23674.0,8358.0,15316.0,6.4,23.0,0.312,0.435,0.747,10.6,67.5,84.2,0.46296296296296297
63,64.0,39.0,162.0,9.59,2.82,1.18,0.303,75.7,41.0,12.7,3.73,3.78,23.2,44.9,4.26,25.4,7.5,615.0,3.4,17.9,5669.0,6338.0,1461.0,972.0,302.0,19.0,168.0,785.0,735.0,571.0,1224.0,25018.0,9223.0,15795.0,9.0,19.3,0.329,0.407,0.736,15.3,62.3,87.1,0.5740740740740741
