"","Season","Team","W","L","SV","GS","K.9","BB.9","HR.9","BABIP","LOB.","GB.","HR.FB","ERA","FIP","WAR.x","Zone.","tERA","K..x","BB..x","ER","K.BB","K.BB.","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","SO","Pitches","Balls","Strikes","BB..y","K..y","OBP","SLG","OPS","WAR.y","Z.Swing.","Z.Contact."
"33",2016,"BAL",89,73,54,162,7.84,3.43,1.15,0.299,"73.7%","44.8%","12.6%",4.22,4.31,15.7,"44.0%",4.67,"20.4%","8.9%",671,2.29,"11.5%",5524,6089,1413,889,265,6,253,744,710,468,1324,23525,8503,15022,"7.7%","21.7%",0.317,0.443,0.76,21.4,"67.9%","84.7%"
"34",2016,"BOS",93,69,43,162,8.51,3.06,1.1,0.293,"72.9%","41.5%","11.4%",4,4,18.8,"45.1%",4.45,"22.4%","8.1%",640,2.78,"14.4%",5670,6320,1598,1022,343,25,208,878,836,558,1160,24947,9221,15726,"8.8%","18.4%",0.348,0.461,0.81,32.3,"62.8%","89.2%"
"35",2016,"CHC",103,58,38,162,8.88,3.05,1.01,0.255,"77.5%","46.9%","13.1%",3.15,3.77,18.8,"43.2%",4.11,"24.3%","8.3%",511,2.91,"15.9%",5503,6335,1409,887,293,30,199,808,767,656,1339,25160,9576,15584,"10.4%","21.1%",0.343,0.429,0.772,35.9,"66.7%","84.7%"
"36",2016,"CHW",78,84,43,162,7.9,3.24,1.15,0.298,"74.0%","43.1%","12.0%",4.12,4.27,17.1,"44.2%",4.55,"20.5%","8.4%",662,2.44,"12.1%",5550,6131,1428,950,277,33,168,686,656,455,1285,23739,8367,15372,"7.4%","21.0%",0.317,0.41,0.727,16.5,"67.5%","86.1%"
"37",2016,"CIN",68,94,28,162,7.75,3.97,1.61,0.29,"72.8%","41.6%","15.9%",4.91,5.24,1,"45.7%",5.67,"19.5%","10.0%",787,1.95,"9.5%",5487,6094,1403,929,277,33,164,716,678,452,1284,23319,8331,14988,"7.4%","21.1%",0.316,0.408,0.724,10.8,"68.2%","86.6%"
"38",2016,"CLE",94,67,37,161,8.71,2.87,1.16,0.289,"73.4%","46.7%","13.7%",3.86,3.91,18.2,"44.6%",4.37,"23.2%","7.6%",619,3.03,"15.5%",5484,6155,1435,913,308,29,185,777,733,531,1246,24186,8826,15360,"8.6%","20.2%",0.329,0.43,0.759,24,"68.3%","86.8%"
"39",2016,"COL",75,87,37,162,7.7,3.44,1.14,0.317,"68.0%","49.1%","14.1%",4.92,4.38,13.1,"45.0%",5.62,"19.4%","8.7%",781,2.24,"10.7%",5614,6236,1544,975,318,47,204,845,805,494,1330,24413,8796,15617,"7.9%","21.3%",0.336,0.457,0.794,20.9,"67.9%","86.3%"
"40",2016,"DET",86,75,47,161,7.76,2.91,1.15,0.3,"72.2%","44.5%","11.7%",4.24,4.16,18.5,"44.7%",4.24,"20.4%","7.6%",673,2.67,"12.7%",5526,6127,1476,983,252,30,211,750,719,493,1303,23720,8595,15125,"8.0%","21.3%",0.331,0.438,0.769,19.9,"66.9%","86.4%"
"41",2016,"HOU",84,78,44,162,8.56,2.78,1.11,0.306,"73.4%","45.2%","12.6%",4.06,3.85,17.6,"43.7%",4.03,"22.6%","7.3%",663,3.08,"15.3%",5545,6204,1367,849,291,29,198,724,689,554,1452,23971,8941,15030,"8.9%","23.4%",0.319,0.417,0.735,24.6,"68.8%","83.2%"
"42",2016,"KCR",81,81,41,162,8.04,3.23,1.29,0.298,"75.4%","44.3%","13.4%",4.21,4.42,12.1,"45.5%",4.67,"20.8%","8.4%",674,2.49,"12.5%",5552,6052,1450,1006,264,33,147,675,640,382,1224,22931,7992,14939,"6.3%","20.2%",0.312,0.4,0.712,11.8,"68.9%","87.6%"
