"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2020","ARI","862","2238","58","269","255","23","8.1%","20.6%",".150",".282",".241",".312",".391",".306","","88","5.5","-29.5","5.2","5.7"
"2022","CLE","2338","6163","127","698","662","119","7.3%","18.2%",".129",".294",".254",".316",".383",".306","","99","13.2","4.1","6.2","21.7"
"2022","BAL","2359","6049","171","674","639","95","7.9%","23.0%",".154",".284",".236",".305",".390",".305","","99","12.0","3.0","-15.0","18.9"
"2015","MIN","2311","6017","156","696","661","70","7.3%","21.0%",".152",".292",".247",".305",".399",".305","","89","-5.5","-80.4","-2.1","12.1"
"2021","BAL","2376","5983","195","659","632","54","7.5%","24.3%",".163",".290",".239",".304",".402",".305","","91","-6.2","-75.5","-61.8","6.6"
"2015","LAA","2459","5990","176","661","621","52","7.3%","19.2%",".150",".280",".246",".307",".396",".305","","95","0.5","-37.0","2.3","17.1"
"2018","NYM","2333","6177","170","676","649","71","9.2%","22.7%",".154",".283",".234",".312",".389",".305","","94","2.6","-43.1","11.9","16.4"
"2022","TEX","2365","6029","198","707","670","128","7.6%","24.0%",".157",".287",".239",".301",".395",".305","","98","18.8","5.3","-16.7","18.9"
"2019","SDP","2413","6019","219","682","652","70","8.4%","26.3%",".172",".293",".238",".308",".410",".305","","89","-11.1","-101.1","20.1","10.8"
"2017","PIT","2371","6136","151","668","635","67","8.5%","19.8%",".142",".286",".244",".318",".386",".304","","85","-2.2","-120.0","13.1","10.1"
"2016","ATL","2390","6192","122","649","615","75","8.1%","20.0%",".130",".305",".255",".321",".384",".304","","86","-6.1","-110.8","35.0","12.2"
"2018","CHW","2348","6071","182","656","639","98","7.0%","26.3%",".160",".304",".241",".302",".401",".304","","92","-7.2","-67.5","-28.4","11.3"
"2021","KCR","2368","5993","163","686","647","124","7.0%","21.0%",".147",".292",".249",".306",".396",".304","","88","13.2","-72.5","0.8","13.3"
"2015","MIL","2377","6024","145","655","624","84","6.8%","21.6%",".142",".303",".251",".307",".393",".304","","87","1.5","-87.9","20.7","12.6"
"2020","CLE","869","2247","59","248","234","25","10.6%","23.0%",".144",".277",".228",".317",".372",".303","","90","-1.2","-28.3","6.4","7.5"
